INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,HANDLING UNIT ID,GEO_LOCATION,HANDLING UNIT NAME,APPROX_LATITUDE,APPROX_LONGITUDE,Zip Codes,2011 Supervisorial District Boundaries (Official)
1001017,UNINTENTIONAL DISCHARGE INCIDENT,2/8/2017 13:02,1300 WEST IMPERIAL HIGHWAY,LOS ANGELES,CA,90044,378,SLA,"1300 WEST IMPERIAL HIGHWAY
LOS ANGELES, CA 90044
(33.930881, -118.298488)",SOUTH LOS ANGELES STATION,33.930881,-118.298488,23675,2
1001036,UNINTENTIONAL DISCHARGE INCIDENT,2/13/2017 21:50,24700 MAGIC MOUNTAIN PARKWAY,VALENCIA,CA,91355,,WST,"24700 MAGIC MOUNTAIN PARKWAY
VALENCIA, CA 91355
(34.42193, -118.569614)",COURT SERVICES WEST,34.42193,-118.569614,19338,5
1001097,UNINTENTIONAL DISCHARGE INCIDENT,3/10/2017 18:15,200 S WESCOTT AVENUE,EAST LOS ANGELES,CA,90022,282,ELA,"200 S WESCOTT AVENUE
EAST LOS ANGELES, CA 90022
(34.03445, -118.153295)",EAST LA STN,34.03445,-118.153295,23440,1
1001098,HIT SHOOTING INCIDENT,3/14/2017 14:31,13700 MULBERRY DRIVE,WHITTIER,CA,90605,492,OSS,"13700 MULBERRY DRIVE
WHITTIER, CA 90605
(33.94865, -118.036441)",OPERATION SAFE STREETS BUREAU,33.94865,-118.036441,25725,4
1001099,HIT SHOOTING INCIDENT,3/20/2017 7:25,8800 E LAS TUNAS DRIVE,TEMPLE CITY,CA,91780,522,TEM,"8800 E LAS TUNAS DRIVE
TEMPLE CITY, CA 91780
(34.103015, -118.07549)",TEMPLE CITY STN,34.103015,-118.07549,10137,5
1001101,HIT SHOOTING INCIDENT,4/12/2017 1:07,1500 EAST 91ST STREET,LOS ANGELES,CA,90002,2176,CEN,"1500 EAST 91ST STREET
LOS ANGELES, CA 90002
(33.954482, -118.246867)",CENTURY STN,33.954482,-118.246867,22351,2
1001117,UNINTENTIONAL DISCHARGE INCIDENT,5/15/2017 12:15,14400 ERWIN STREET,VAN NUYS,CA,91401,4481,WST,"14400 ERWIN STREET
VAN NUYS, CA 91401
(34.183204, -118.448711)",COURT SERVICES WEST,34.183204,-118.448711,19729,3
1001118,ANIMAL SHOOTING INCIDENT,5/17/2017 18:30,WEST AV K-12 AND GADSDEN AV,LANCASTER,CA,93534,1125,LCS,"WEST AV K-12 AND GADSDEN AV
LANCASTER, CA 93534
(34.665421, -118.144029)",LANCASTER STN,34.665421,-118.144029,26965,5
1001056,ANIMAL SHOOTING INCIDENT,3/2/2017 7:30,1500 SAN FERNANDO ROAD,LOS ANGELES,CA,90065,6101,MTL,"1500 SAN FERNANDO ROAD
LOS ANGELES, CA 90065
(34.097117, -118.232835)",METROLINK,34.097117,-118.232835,24030,1
1001119,ANIMAL SHOOTING INCIDENT,5/24/2017 20:00,1000 EAST TUCKER STREET,COMPTON,CA,90220,2823,COM,"1000 EAST TUCKER STREET
COMPTON, CA 90220
(33.90696, -118.213913)",COMPTON STN,33.90696,-118.213913,24350,2
1001139,HIT SHOOTING INCIDENT,5/24/2017 23:40,900 NORTH SANTA FE AVENUE,COMPTON,CA,90211,2822,COM,"900 NORTH SANTA FE AVENUE
COMPTON, CA 90211
(33.903225, -118.216287)",COMPTON STN,33.903225,-118.216287,24350,2
1001159,ANIMAL SHOOTING INCIDENT,6/21/2017 8:00,300 BANNING STREET,COMPTON,CA,90220,2820,COM,"300 BANNING STREET
COMPTON, CA 90220
(33.918027, -118.223165)",COMPTON STN,33.918027,-118.223165,24677,2
1001160,UNINTENTIONAL DISCHARGE INCIDENT,6/23/2017 2:35,100 CLAREMONT AVENUE,LONG BEACH,CA,90803,2899,COM,"100 CLAREMONT AVENUE
LONG BEACH, CA 90803
(33.755539, -118.132718)",COMPTON STN,33.755539,-118.132718,3709,4
1001164,ANIMAL SHOOTING INCIDENT,6/30/2017 1:52,15900 FORMBY DRIVE,LA MIRADA,CA,90638,468,OSS,"15900 FORMBY DRIVE
LA MIRADA, CA 90638
(33.898014, -117.993057)",OPERATION SAFE STREETS BUREAU,33.898014,-117.993057,25732,4
1001100,NON-HIT SHOOTING INCIDENT,4/9/2017 12:56,15700 MAPLEGROVE AVENUE,LA PUENTE,CA,91744,1440,IND,"15700 MAPLEGROVE AVENUE
LA PUENTE, CA 91744
(34.045045, -117.939911)",INDUSTRY STN,34.045045,-117.939911,9324,1
1001163,UNINTENTIONAL DISCHARGE INCIDENT,6/23/2017 5:25,27700 DICKASON DRIVE,VALENCIA,CA,91355,641,SCV,"27700 DICKASON DRIVE
VALENCIA, CA 91355
(34.437112, -118.56366)",SANTA CLARITA VALLEY STN,34.437112,-118.56366,19338,5
1001167,UNINTENTIONAL DISCHARGE INCIDENT,7/5/2017 1:00,200 W. TEMPLE STREET,LOS ANGELES,CA,90012,8507,CSB,"200 W. TEMPLE STREET
LOS ANGELES, CA 90012
(34.055774, -118.24288)",COUNTY SERVICES BUREAU,34.055774,-118.24288,22728,1
1001162,UNINTENTIONAL DISCHARGE INCIDENT,6/28/2017 5:28,2300 EAST AVENUE Q-4,PALMDALE,CA,93550,2608,PLM,"2300 EAST AVENUE Q-4
PALMDALE, CA 93550
(34.583808, -118.087312)",PALMDALE STN,34.583808,-118.087312,27323,5
1001165,ANIMAL SHOOTING INCIDENT,6/22/2017 3:47,38500 10TH STREET EAST,PALMDALE,CA,93550,2610,PLM,"38500 10TH STREET EAST
PALMDALE, CA 93550
(34.581558, -118.111892)",PALMDALE STN,34.581558,-118.111892,27323,5
1001166,NON-HIT SHOOTING INCIDENT,6/26/2017 8:30,6000 ROSEMEAD BLVD,PICO RIVERA,CA,90660,1515,PRV,"6000 ROSEMEAD BLVD
PICO RIVERA, CA 90660
(33.990752, -118.091626)",PICO RIVERA STN,33.990752,-118.091626,25735,1
1001181,NON-HIT SHOOTING INCIDENT,7/22/2017 2:11,10700 ATLANTIC AVENUE,LYNWOOD,CA,90262,2115,CEN,"10700 ATLANTIC AVENUE
LYNWOOD, CA 90262
(33.933753, -118.18251)",CENTURY STN,33.933753,-118.18251,24691,2
1001201,UNINTENTIONAL DISCHARGE INCIDENT,8/1/2017 21:10,12100 214TH STREET,HAWAIIAN GARDENS,CA,90716,1352,LKD,"12100 214TH STREET
HAWAIIAN GARDENS, CA 90716
(33.835102, -118.0742)",LAKEWOOD STN,33.835102,-118.0742,3334,4
1000437,NON-HIT SHOOTING INCIDENT,5/1/2013 15:10,109TH STREET AND WILMINGTON AVENUE,LOS ANGELES,CA,90059,2199,CEN,"109TH STREET AND WILMINGTON AVENUE
LOS ANGELES, CA 90059
(33.937096996998, -118.239026010521)",CENTURY STN,33.937097,-118.239026,24354,2
1000290,NON-HIT SHOOTING INCIDENT,2/10/2010 21:45,1300 WEST 139TH STREET,COMPTON,CA,90222,2812,COM,"1300 WEST 139TH STREET
COMPTON, CA 90222
(33.905741749127, -118.251892147202)",COMPTON STN,33.90574175,-118.2518921,24677,2
1000053,ANIMAL SHOOTING INCIDENT,12/16/2010 16:00,E. 95TH STREET AND JUNIPER AVENUE,LOS ANGELES,CA,90002,2177,CEN,"E. 95TH STREET AND JUNIPER AVENUE
LOS ANGELES, CA 90002
(33.950539979637, -118.23285902391)",CENTURY STN,33.95053998,-118.232859,22351,2
1000191,UNINTENTIONAL DISCHARGE INCIDENT,5/4/2010 21:35,400 BAUCHET STREET,LOS ANGELES,CA,90012,4300,TST,"400 BAUCHET STREET
LOS ANGELES, CA 90012
(34.058473267786, -118.232964844975)",TRANSPORTATION BUREAU,34.05847327,-118.2329648,22728,1
1000126,ANIMAL SHOOTING INCIDENT,5/9/2013 9:35,115TH STREET EAST AND AVENUE S,LITTLEROCK,CA,93543,2663,PLM,"115TH STREET EAST AND AVENUE S
LITTLEROCK, CA 93543
(34.557961996883, -117.925332006836)",PALMDALE STN,34.557962,-117.925332,27318,5
1000500,HIT SHOOTING INCIDENT,10/8/2014 0:58,OLYMPIC BLVD AND  FRASER AVENUE,EAST LOS ANGELES,CA,90022,284,ELA,"OLYMPIC BLVD AND FRASER AVENUE
EAST LOS ANGELES, CA 90022
(34.017217983073, -118.162920014153)",EAST LA STN,34.01721798,-118.16292,23440,1
1000521,HIT SHOOTING INCIDENT,3/25/2015 0:00,102ND STREET AND S. VERMONT AVE,LOS ANGELES,CA,90044,577,SLA,"102ND STREET AND S. VERMONT AVE
LOS ANGELES, CA 90044
(33.944082993124, -118.291825011443)",SOUTH LOS ANGELES STATION,33.94408299,-118.291825,23675,2
1000491,NON-HIT SHOOTING INCIDENT,7/10/2014 3:08,JAMISON AVENUE AND TORRANCE BLVD,CARSON,CA,90745,2851,COM,"JAMISON AVENUE AND TORRANCE BLVD
CARSON, CA 90745
(33.84217015963, -118.277261541906)",COMPTON STN,33.84217016,-118.2772615,3354,2
1000409,NON-HIT SHOOTING INCIDENT,7/22/2012 21:54,BARING CROSS STREET AND CENTURY BLVD,LOS ANGELES,CA,90047,370,SLA,"BARING CROSS STREET AND CENTURY BLVD
LOS ANGELES, CA 90047
(33.945500982771, -118.289348004034)",SOUTH LOS ANGELES STATION,33.94550098,-118.289348,23675,2
1000511,NON-HIT SHOOTING INCIDENT,1/18/2015 2:07,PENNSYLVANIA AVENUE AND 246TH PLACE,LOMITA,CA,90717,1711,LMT,"PENNSYLVANIA AVENUE AND 246TH PLACE
LOMITA, CA 90717
(33.801627183333, -118.325363861977)",LOMITA STN,33.80162718,-118.3253639,3335,4
1000717,HIT SHOOTING INCIDENT,3/30/2016 15:25,6400 NORTHSIDE DRIVE,EAST LOS ANGLES,CA,90022,287,SEB,"6400 NORTHSIDE DRIVE
EAST LOS ANGLES, CA 90022
(34.012367669472, -118.126934373157)",SPECIAL ENFORCEMENT BUR,34.01236767,-118.1269344,23440,1
1000175,ANIMAL SHOOTING INCIDENT,8/27/2012 9:30,MARKRIDGE ROAD AND RAMSDALE AVENUE,LA CRESCENTA,CA,91214,1285,CVS,"MARKRIDGE ROAD AND RAMSDALE AVENUE
LA CRESCENTA, CA 91214
(34.242501985821, -118.24414001165)",CRESCENTA VALLEY STATION,34.24250199,-118.24414,4275,5
1000230,UNINTENTIONAL DISCHARGE INCIDENT,6/17/2013 21:50,21600 E. VALLEY BOULEVARD,WALNUT,CA,91789,2901,WAL,"21600 E. VALLEY BOULEVARD
WALNUT, CA 91789
(34.026804735715, -117.835641214097)",WALNUT/SAN DIMAS STN,34.02680474,-117.8356412,10145,1
1000150,ANIMAL SHOOTING INCIDENT,10/13/2014 22:50,PLACERITA CANYON ROAD AND SIERRA HIGHWAY,SANTA CLARITA,CA,91321,652,SCV,"PLACERITA CANYON ROAD AND SIERRA HIGHWAY
SANTA CLARITA, CA 91321
(34.378066998778, -118.49419999375)",SANTA CLARITA VALLEY STN,34.378067,-118.4942,4290,5
1000498,HIT SHOOTING INCIDENT,9/17/2014 22:49,COMPTON BOULEVARD AND PAULSON AVENUE,COMPTON,CA,90220,2814,OSS,"COMPTON BOULEVARD AND PAULSON AVENUE
COMPTON, CA 90220
(33.895908982003, -118.235631018783)",OPERATION SAFE STREETS BUREAU,33.89590898,-118.235631,24349,2
1000431,HIT SHOOTING INCIDENT,1/10/2013 16:08,HOLBROOK STREET AND  MORRILL AVENUE,WHITTIER,CA,90606,1575,PRV,"HOLBROOK STREET AND MORRILL AVENUE
WHITTIER, CA 90606
(33.988776997572, -118.066529007418)",PICO RIVERA STN,33.988777,-118.066529,25726,4
1000339,HIT SHOOTING INCIDENT,2/11/2011 14:35,EAST 60 FREEWAY AND SANTA ANITA AVENUE,SOUTH EL MONTE,CA,91773,562,TTCF,"EAST 60 FREEWAY AND SANTA ANITA AVENUE
SOUTH EL MONTE, CA 91773
(34.039845990035, -118.051715005985)",TWIN TOWERS CORRECTIONAL FACILITY,34.03984599,-118.051715,9314,1
1000056,ANIMAL SHOOTING INCIDENT,12/21/2010 2:30,CENTER AVENUE AND RAYMOND STREET,COMPTON,CA,90220,2836,COM,"CENTER AVENUE AND RAYMOND STREET
COMPTON, CA 90220
(33.887183987714, -118.23270802104)",COMPTON STN,33.88718399,-118.232708,24349,2
1000201,UNINTENTIONAL DISCHARGE INCIDENT,3/24/2011 2:30,MAGDA COURT AND CHESEBORO ROAD,PALMDALE,CA,93552,2685,PLM,"MAGDA COURT AND CHESEBORO ROAD
PALMDALE, CA 93552
(34.530931981696, -118.027668003745)",PALMDALE STN,34.53093198,-118.027668,27325,5
1000299,NON-HIT SHOOTING INCIDENT,5/6/2010 1:30,257TH AND WESTERN,LOS ANGELES,CA,90710,1712,LMT,"257TH AND WESTERN
LOS ANGELES, CA 90710
(33.790478876202, -118.307565110421)",LOMITA STN,33.79047888,-118.3075651,3335,4
1000152,ANIMAL SHOOTING INCIDENT,12/22/2014 8:59,3500 E. 53RD STREET,MAYWOOD,CA,90270,250,ELA,"3500 E. 53RD STREET
MAYWOOD, CA 90270
(33.994714172722, -118.203315406087)",EAST LA STN,33.99471417,-118.2033154,25065,1
1000080,ANIMAL SHOOTING INCIDENT,5/2/2012 18:45,HUBBARD STREET AND AMALIA AVENUE,EAST LOS ANGELES,CA,90022,286,ELA,"HUBBARD STREET AND AMALIA AVENUE
EAST LOS ANGELES, CA 90022
(34.022382982571, -118.155539017569)",EAST LA STN,34.02238298,-118.155539,23440,1
1000512,HIT SHOOTING INCIDENT,1/24/2015 20:54,3900 DENNISON STREET,LOS ANGELES,CA,90022,278,OSS,"3900 DENNISON STREET
LOS ANGELES, CA 90022
(34.020610940237, -118.191194724888)",OPERATION SAFE STREETS BUREAU,34.02061094,-118.1911947,23441,1
1000245,UNINTENTIONAL DISCHARGE INCIDENT,4/26/2014 12:06,12800 DAHLIA AVENUE,DOWNEY,CA,90242,8619,CSB,"12800 DAHLIA AVENUE
DOWNEY, CA 90242
(33.923825990398, -118.158851719619)",COUNTY SERVICES BUREAU,33.92382599,-118.1588517,24682,4
1000137,ANIMAL SHOOTING INCIDENT,10/12/2013 14:40,EXPOSITION BOULEVARD AND NORMANDIE AVENUE,LOS ANGELES,CA,90062,6893,TSB,"EXPOSITION BOULEVARD AND NORMANDIE AVENUE
LOS ANGELES, CA 90062
(34.018375996284, -118.300166992469)",TRANSIT SERVICES BUREAU,34.018376,-118.300167,22724,2
1000099,ANIMAL SHOOTING INCIDENT,9/1/2012 18:45,25TH STREET WEST AND AVENUE M,LANCASTER,CA,93536,1192,PKB,"25TH STREET WEST AND AVENUE M
LANCASTER, CA 93536
(34.645763988527, -118.17427001002)",PARKS BUREAU,34.64576399,-118.17427,26967,5
1000055,ANIMAL SHOOTING INCIDENT,12/20/2010 11:45,20TH STREET E. AND  E. AVENUE R,PALMDALE,CA,93550,2608,COP,"20TH STREET E. AND E. AVENUE R
PALMDALE, CA 93550
(34.572707997868, -118.093959020906)",COPS BUREAU,34.572708,-118.093959,27323,5
1000503,NON-HIT SHOOTING INCIDENT,2/2/2015 8:46,OAKRIVER LANE AND  OAKHURST DRIVE,NEWHALL,CA,91321,664,SCV,"OAKRIVER LANE AND OAKHURST DRIVE
NEWHALL, CA 91321
(34.370052994609, -118.508155976791)",SANTA CLARITA VALLEY STN,34.37005299,-118.508156,4290,5
1000090,ANIMAL SHOOTING INCIDENT,6/29/2012 23:30,21900 S. VERA STREET,CARSON,CA,90745,1620,CSN,"21900 S. VERA STREET
CARSON, CA 90745
(33.82919365887, -118.248483087345)",CARSON STATION,33.82919366,-118.2484831,3354,2
1000489,HIT SHOOTING INCIDENT,6/24/2014 21:51,POINSETTIA AVENUE AND PALMER STREET,COMPTON,CA,90221,2824,COM,"POINSETTIA AVENUE AND PALMER STREET
COMPTON, CA 90221
(33.898358975497, -118.209500015643)",COMPTON STN,33.89835898,-118.2095,24350,2
1000092,ANIMAL SHOOTING INCIDENT,7/10/2012 7:25,AVENUE I AND RODIN,LANCASTER,CA,93535,1132,LCS,"AVENUE I AND RODIN
LANCASTER, CA 93535
(34.704105995598, -118.118508019194)",LANCASTER STN,34.704106,-118.118508,26966,5
1000481,NON-HIT SHOOTING INCIDENT,4/12/2014 21:50,6000 6TH ST AND SCHOOL AVE,LOS ANGELES,CA,90022,287,ELA,"6000 6TH ST AND SCHOOL AVE
LOS ANGELES, CA 90022
(34.021630330892, -118.140770099566)",EAST LA STN,34.02163033,-118.1407701,23440,1
1000044,ANIMAL SHOOTING INCIDENT,1/1/2010 21:00,BARRELL SPRINGS ROAD AND 37TH STREET EAST,PALMDALE,CA,93550,2603,PLM,"BARRELL SPRINGS ROAD AND 37TH STREET EAST
PALMDALE, CA 93550
(34.528204998179, -118.062750016661)",PALMDALE STN,34.528205,-118.06275,27323,5
1000291,HIT SHOOTING INCIDENT,2/26/2010 4:29,NORWALK BOULEVARD AND CAMBRIAN STREET,ARTESIA,CA,90701,1349,LKD,"NORWALK BOULEVARD AND CAMBRIAN STREET
ARTESIA, CA 90701
(33.857051016173, -118.072289006107)",LAKEWOOD STN,33.85705102,-118.072289,26323,4
1000013,ANIMAL SHOOTING INCIDENT,4/10/2011 10:28,KENNETH ROAD AND FREDERIC STREET,BURBANK,CA,91504,399,CSB,"KENNETH ROAD AND FREDERIC STREET
BURBANK, CA 91504
(34.206472981446, -118.33841199901)",COUNTY SERVICES BUREAU,34.20647298,-118.338412,20148,5
1000184,ANIMAL SHOOTING INCIDENT,12/16/2010 12:00,E. 87TH STREET AND HOOPER AVENUE,LOS ANGELES,CA,90002,2174,CEN,"E. 87TH STREET AND HOOPER AVENUE
LOS ANGELES, CA 90002
(33.959239984048, -118.253965001873)",CENTURY STN,33.95923998,-118.253965,22351,2
1000130,ANIMAL SHOOTING INCIDENT,6/20/2013 16:40,11400 CARSON STREET,LAKEWOOD,CA,90715,1327,LKD,"11400 CARSON STREET
LAKEWOOD, CA 90715
(33.831492005316, -118.090069934681)",LAKEWOOD STN,33.83149201,-118.0900699,3333,4
1000163,OTHER SHOOTING INCIDENT,6/14/2010 13:10,32100 CASTAIC LAKE DRIVE,CASTAIC,CA,91384,691,PKB,"32100 CASTAIC LAKE DRIVE
CASTAIC, CA 91384
(34.501992937482, -118.616667627824)",PARKS BUREAU,34.50199294,-118.6166676,19353,5
1000351,HIT SHOOTING INCIDENT,5/22/2011 6:30,114TH STREET AND  COMPTON AVENUE,LOS ANGELES,CA,90059,2199,CEN,"114TH STREET AND COMPTON AVENUE
LOS ANGELES, CA 90059
(33.93113097976, -118.246258025839)",CENTURY STN,33.93113098,-118.246258,24354,2
1000404,HIT SHOOTING INCIDENT,1/21/2013 4:59,98TH STREET AND HARVARD BL,LOS ANGELES,CA,90047,374,SLA,"98TH STREET AND HARVARD BL
LOS ANGELES, CA 90047
(33.946796989727, -118.306796988259)",SOUTH LOS ANGELES STATION,33.94679699,-118.306797,23678,2
1000456,HIT SHOOTING INCIDENT,9/10/2013 1:30,4000 ALMANZA LANE AND MILLER AVENUE,EAST LOS ANGELES,CA,90063,272,ELA,"4000 ALMANZA LANE AND MILLER AVENUE
EAST LOS ANGELES, CA 90063
(34.05272684942, -118.178385581423)",EAST LA STN,34.05272685,-118.1783856,24028,1
1000219,WARNING SHOT INCIDENT,10/12/2013 20:10,WILLOWBROOKE LANE AND GREENLEAF COURT,STEVENSON RANCH,CA,91381,661,CSW,"WILLOWBROOKE LANE AND GREENLEAF COURT
STEVENSON RANCH, CA 91381
(34.408357949934, -118.586918009577)",COURT SERVICES TRANSPORTATION,34.40835795,-118.586918,19351,5
1000413,HIT SHOOTING INCIDENT,8/24/2012 14:11,9400 FLORA VISTA,BELLFLOWER,CA,90706,1332,LKD,"9400 FLORA VISTA
BELLFLOWER, CA 90706
(33.890321112637, -118.133804127487)",LAKEWOOD STN,33.89032111,-118.1338041,26326,4
1000400,HIT SHOOTING INCIDENT,5/12/2012 13:25,HUDSON AVENUE AND STAFFORD AVENUE,CITY OF INDUSTRY,CA,91744,1462,IDT,"HUDSON AVENUE AND STAFFORD AVENUE
CITY OF INDUSTRY, CA 91744
(34.025035988602, -117.959331025626)",INDUSTRY STN,34.02503599,-117.959331,9324,1
1000424,HIT SHOOTING INCIDENT,11/16/2012 21:30,81ST AND PARMALEE AVENUE,LOS ANGELES,CA,90001,2174,OSS,"81ST AND PARMALEE AVENUE
LOS ANGELES, CA 90001
(33.965808978845, -118.24990302595)",OPERATION SAFE STREETS BUREAU,33.96580898,-118.249903,22350,2
1000364,HIT SHOOTING INCIDENT,4/4/2011 9:00,1300 92ND STREET AND ZAMORA AVENUE,LOS ANGELES,CA,90002,2176,CEN,"1300 92ND STREET AND ZAMORA AVENUE
LOS ANGELES, CA 90002
(33.953179903694, -118.251565140819)",CENTURY STN,33.9531799,-118.2515651,22351,2
1000526,HIT SHOOTING INCIDENT,6/4/2015 17:54,ALOSTA AVENUE AND CITRUS AVENUE,ASUZA,CA,91702,899,SDM,"ALOSTA AVENUE AND CITRUS AVENUE
ASUZA, CA 91702
(34.128732997959, -117.890085024271)",SAN DIMAS STN,34.128733,-117.890085,8894,1
